Total_params: 1557292
epoch [199/400], loss:0.0333
epoch [200/400], loss:0.0342
epoch [201/400], loss:0.0344
epoch [202/400], loss:0.0351
epoch [203/400], loss:0.0354
epoch [204/400], loss:0.0415
epoch [205/400], loss:0.0428
epoch [206/400], loss:0.0390
epoch [207/400], loss:0.0351
epoch [208/400], loss:0.0331
epoch [209/400], loss:0.0333
epoch [210/400], loss:0.0332
epoch [211/400], loss:0.0329
epoch [212/400], loss:0.0333
epoch [213/400], loss:0.0336
epoch [214/400], loss:0.0347
epoch [215/400], loss:0.0342
epoch [216/400], loss:0.0334
epoch [217/400], loss:0.0325
epoch [218/400], loss:0.0339
epoch [219/400], loss:0.0320
epoch [220/400], loss:0.0307
epoch [221/400], loss:0.0317
epoch [222/400], loss:0.0326
epoch [223/400], loss:0.0314
epoch [224/400], loss:0.0322
epoch [225/400], loss:0.0327
epoch [226/400], loss:0.0330
epoch [227/400], loss:0.0304
epoch [228/400], loss:0.0306
epoch [229/400], loss:0.0293
epoch [230/400], loss:0.0291
epoch [231/400], loss:0.0289
epoch [232/400], loss:0.0335
epoch [233/400], loss:0.0330
epoch [234/400], loss:0.0321
epoch [235/400], loss:0.0337
epoch [236/400], loss:0.0306
epoch [237/400], loss:0.0300
epoch [238/400], loss:0.0313
epoch [239/400], loss:0.0312
epoch [240/400], loss:0.0323
epoch [241/400], loss:0.0310
epoch [242/400], loss:0.0309
epoch [243/400], loss:0.0309
epoch [244/400], loss:0.0316
epoch [245/400], loss:0.0328
epoch [246/400], loss:0.0338
epoch [247/400], loss:0.0328
epoch [248/400], loss:0.0300
epoch [249/400], loss:0.0300
epoch [250/400], loss:0.0301
epoch [251/400], loss:0.0300
epoch [252/400], loss:0.0283
epoch [253/400], loss:0.0291
epoch [254/400], loss:0.0286
epoch [255/400], loss:0.0318
epoch [256/400], loss:0.0321
epoch [257/400], loss:0.0301
epoch [258/400], loss:0.0522
epoch [259/400], loss:0.0589
epoch [260/400], loss:0.0706
epoch [261/400], loss:0.0574
epoch [262/400], loss:0.0487
epoch [263/400], loss:0.0385
epoch [264/400], loss:0.0348
epoch [265/400], loss:0.0318
epoch [266/400], loss:0.0314
epoch [267/400], loss:0.0298
epoch [268/400], loss:0.0292
epoch [269/400], loss:0.0296
epoch [270/400], loss:0.0297
epoch [271/400], loss:0.0296
epoch [272/400], loss:0.0288
epoch [273/400], loss:0.0282
epoch [274/400], loss:0.0280
epoch [275/400], loss:0.0283
epoch [276/400], loss:0.0272
epoch [277/400], loss:0.0283
epoch [278/400], loss:0.0282
